"Field1","Field2_Text","Field2_Link","Field3_Text"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","David Chipperfield, Neues Museum, Berlin, 2009"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Bucky Fuller"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Anthony Blunt"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Norman Foster"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Swiss Re"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Sage music centre"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Sheikh al Zayed National Museum in Abu Dhabi"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Reichstag in Berlin"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Banksy"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Jeff Koons"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","John Summerson"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Dan Graham"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Richard Rogers"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Nicholas Grimshaw"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","David Harvey"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Deconstructivism"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Minimalism"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","‘digital Baroque’"
